"Name","Description","Manufacturer","Manufacturer Part","Supplier","Supplier Part"
"main board","xmas-icetube main board (rev. d)","OSH Park",,"OSH Park",
"side board","xmas-icetube side board (rev. c) ","OSH Park",,"OSH Park",
"acrylic case","xmas-icetube acrylic case (rev. a)","Ponoko",,"Ponoko",
"nuts (10x)","4-40 polycarbonate hex nut","McMaster-Carr","94905A005","McMaster-Carr","94905A005"
"bolts (8x)","4-40 polycarbonate phillips screw","McMaster-Carr","93140A109","McMaster-Carr","93140A109"
"9VAC","9 v adaptor, 2.1mm jack (International)","CUI Inc","EMSA090067-P5P-SZ","Digi-Key","T1085-P5P-ND"
"9VAC (alt)","9 volt adaptor, 2.1mm jack (North America)","Volgen America/Kaga Electronics USA","KTPS05-09006U","Digi-Key","62-1167-ND"
"BATT","coin cell","Energizer","CR1220","Amazon","B003CU3E2Q"
"display","antique vacuum florescent display ","Russia (discontinued, NOS)","IV-18","eBay/Adafruit","IV-18"
"9VAC'","2.1mm power jack","CUI Inc","PJ-202A","Digi-Key","CP-202A-ND"
"BATT'","coin cell holder","Keystone Electronics",3001,"Digi-Key","3001K-ND"
"C1,C3,C10,C11","0.1uF 50v cap","TDK Corporation","FK18X7R1H104K","Digi-Key","445-5303-ND"
"C2,C7","47uF 35v cap","Panasonic Electronic Components","ECA-1VHG470","Digi-Key","P5550-ND"
"C4","220uF 6.3v cap","Panasonic Electronic Components","ECA-0JHG221","Digi-Key","P5506-ND"
"C5","0.1uF 100v cap","AVX Corporation","SR201C104KAR","Digi-Key","478-4855-ND"
"C6","33uF 100v cap","Panasonic Electronic Components","EEU-FC2A330L","Digi-Key","P10772-ND"
"C8,C9","10pF 50v cap","Vishay BC Components","K100J15C0GF5TL2","Digi-Key","BC1001CT-ND"
"D1","50v 1A general purpose diode","Fairchild Semiconductor","1N4001","Digi-Key","1N4001FSCT-ND"
"D2,D4","20v 1A Schottky diode","Fairchild Semiconductor","1N5817","Digi-Key","1N5817FSCT-ND"
"D3","60v 1A Schottky diode","ON Semiconductor","MBR160G","Digi-Key","MBR160GOS-ND"
"D5","56v 1.3W Zener diode","Vishay Semiconductor Diodes Division","1N4758A-TR","Digi-Key","1N4758AVSCT-ND"
"F1","250 mA resettable fuse","TE Connectivity","RXEF025-2","Digi-Key","RXEF025CT-ND"
"IC1","Microcontroller","Atmel","ATMEGA328P-PU","Digi-Key","ATMEGA328P-PU-ND "
"IC1'","28 pin DIP socket","3M","4828-3004-CP","Digi-Key","3M5480-ND"
"IC2","VFD grid/segment driver","Maxim Integrated","MAX6921AQI+","Digi-Key","MAX6921AQI+-ND"
"IC2'","28 pin PLCC socket","Assmann WSW Components","A-CCS28-Z-R","Digi-Key","AE10055-ND"
"IC3","5v voltage regulator","ON Semiconductor","MC78L05ABPG","Digi-Key","MC78L05ABPGOS-ND"
"IC4","temperature sensor","Maxim Integrated","DS18B20+","Mouser","700-DS18B20+"
"IC5","LM317 voltage regulator","ON Semiconductor","LM317LZG","Digi-Key","LM317LZGOS-ND"
"ISP","2x3 0.1inx0.1in ISP header","3M","961206-6404-AR","Digi-Key","3M9459-ND"
"J1","standard jumper","Sullins Connector Solutions","QPC02SXGN-RC","Digi-Key","S9337-ND"
"J1 (alt)","jumper with handle (alternative)","Sullins Connector Solutions","NPC02SXON-RC","Digi-Key","S9341-ND"
"J1'","1x2 0.1in male header","FCI","77311-118-02LF","Digi-Key","609-4434-ND"
"JP1","2x10 0.1inx0x.1in female header","Sullins Connector Solutions","PPPC102LFBN-RC","Digi-Key","S6106-ND"
"JP2","2x10 0.1inx0x.1in male right angle header","FCI","68021-120HLF","Digi-Key","609-3338-ND"
"L1","2.2mH 0.24A inductor","Murata Power Solutions Inc","13R225C","Digi-Key","811-2054-ND"
"Q1","clock crystal oscillator","ABRACON","AB38T-32.768KHZ","Mouser","815-AB38T-32.768KHZ"
"Q2","100v N-channel MOSFET","Vishay Siliconix","IRFD110PBF","Digi-Key","IRFD110PBF-ND"
"Q3","removed from design",,,,
"Q4,Q6","100v P-channel MOSFET","Diodes Inc","ZVP2110A","Digi-Key","ZVP2110A-ND"
"Q5,Q7","100v N-channel MOSFET","Diodes Inc","ZVN2110A","Digi-Key","ZVN2110A-ND"
"R1","270k 5% resistor","Yageo","CFR-25JB-52-270K","Digi-Key","270KQBK-ND"
"R2","100k 5% resistor","Yageo","CFR-25JB-52-100K","Digi-Key","100KQBK-ND"
"R3","removed from design",,,,
"R4","5.6k 5% resistor","Yageo","CFR-25JB-52-5K6","Digi-Key","5.6KQBK-ND"
"R5,R10","10k 5% resistor","Yageo","CFR-25JB-52-10K","Digi-Key","10KQBK-ND"
"R6","photoresistor","Advanced Photonix Inc","PDV-P8001","Digi-Key","PDV-P8001-ND"
"R7","1.00k 1% resistor","Yageo","MFR-25FBF52-1K","Digi-Key","1.00KXBK-ND"
"R8","3.57k 1% resistor","Yageo","MFR-25FBF52-3K57","Digi-Key","3.57KXBK-ND"
"R9","4.7k 5% resistor","Yageo","CFR-25JB-52-4K7","Digi-Key","4.7KQBK-ND "
"S1,S2,S3","right angle tactile switch","Panasonic Electronic Components","EVQ-PF008K","Digi-Key","P10880S-ND"
"SPK","piezo speaker","TDK","PS1240P02BT","Mouser","810-PS1240P02BT"
"SW1","right angle SPDT switch","C&K Components","0S102011MA1QN1","Mouser","611-OS102011MA1QN1"
